"Source:","C:\Users\Aorus\Documents\Projects\modular-synth\dimension p\dimension p chorus\dimension p chorus.sch"
"Date:","30/03/2019 16:23:18"
"Tool:","Eeschema (5.0.2)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","56"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C4, C5, C9, C10, C12, C1, ","6","0.1uF","C","","Unpolarized capacitor",""
"C6, C11, ","2","22pF","C","","Unpolarized capacitor",""
"C13, ","1","4.7n","C","","Unpolarized capacitor",""
"C14, ","1","10n","C","","Unpolarized capacitor",""
"C15, ","1","22uF","CP1","","Polarized capacitor, US symbol",""
"C16, C19, ","2","47uF","CP1","","Polarized capacitor, US symbol",""
"C20, C18, C2, C3, C17, C7, C8, ","7","10uF","CP1","","Polarized capacitor, US symbol",""
"C21, ","1","4.7uF","CP1","","Polarized capacitor, US symbol",""
"C23, C22, ","2","100uF","CP1","","Polarized capacitor, US symbol",""
"D1, ","1","1N4148","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","100V 0.15A standard switching diode, DO-35",""
"J1, ","1","Conn_01x02_Male","Conn_01x02_Male","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, ","1","2N3904","2N3904","Package_TO_SOT_THT:TO-92_Inline","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92",""
"R2, ","1","270","R","","Resistor",""
"R3, R6, R1, ","3","1M","R","","Resistor",""
"R4, R7, ","2","470k","R","","Resistor",""
"R10, R11, R17, R18, ","4","47k","R","","Resistor",""
"R12, R13, ","2","220k","R","","Resistor",""
"R14, ","1","4k7","R","","Resistor",""
"R15, R21, R23, R24, R8, ","5","10k","R","","Resistor",""
"R19, R5, ","2","100","R","","Resistor",""
"RV1, R16, R22, R20, R9, ","5","100k","R","","Resistor",""
"RV2, ","1","500k","R_POT","","Potentiometer",""
"U1, ","1","TL072","TL072","","Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",""
"U2, U3, ","2","PT2399","PT2399","","Echo Processor IC",""
"U4, ","1","LM7805_TO220","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1A 35V Linear Regulator, Fixed Output 5V, TO-220",""
