Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
"C1, C3, ",2,100uF,CP1,,"Polarized capacitor, US symbol",
"C2, C40, ",2,0.22uF,CAP,,Capacitor symbol for simulation only,
"C6, C7, C5, C4, C27, C24, C21, C34, C33, ",9,10uF,CP1,,"Polarized capacitor, US symbol",
"C8, ",1,10pF,C,kicad_footprints:sip5,Unpolarized capacitor,
"C9, C10, C12, C13, C14, C15, C17, C18, ",8,0.01uF,C,,Unpolarized capacitor,
"C11, ",1,10n,C,,Unpolarized capacitor,
"C16, ",1,22uF,CP1,,"Polarized capacitor, US symbol",
"C19, C28, ",2,330pF,C,,Unpolarized capacitor,
"C20, ",1,4.7uF,CP1,,"Polarized capacitor, US symbol",
"C22, ",1,10pF,C,,Unpolarized capacitor,
"C23, C25, ",2,47uF,CP1,,"Polarized capacitor, US symbol",
"C29, C35, ",2,22pF,C,,Unpolarized capacitor,
"C30, C31, C36, C37, C39, C26, ",6,0.1uF,C,,Unpolarized capacitor,
"C32, C41, C46, ",3,0.001uF,CAP,,Capacitor symbol for simulation only,
"C38, ",1,4.7n,C,,Unpolarized capacitor,
"C42, C43, C44, ",3,0.22uF,C,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,Unpolarized capacitor,
"C45, ",1,10pF,C,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,Unpolarized capacitor,
"C47, ",1,47pF,CAP,,Capacitor symbol for simulation only,
"C48, ",1,22pF,C,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,Unpolarized capacitor,
"C49, C50, ",2,10uF,C,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,Capacitor symbol for simulation only,
"C51, ",1,2.2uF NP,C,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,Unpolarized capacitor,
"D1, ",1,1N4148,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,"100V 0.15A standard switching diode, DO-35",
"D3, D2, ",2,1N914,1N914,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,"100V 0.3A Small Signal Fast Switching Diode, DO-35",
"J1, ",1,Conn_01x02_Male,Conn_01x02_Male,,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J2, ",1,Input,AudioJack2,,"Audio Jack, 2 Poles (Mono / TS)",
"J3, ",1,Screw_Terminal_01x03,Screw_Terminal_01x03,,"Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J4, ",1,HighPass,AudioJack2,,"Audio Jack, 2 Poles (Mono / TS)",
"J5, ",1,1V/OCT,AudioJack2,,"Audio Jack, 2 Poles (Mono / TS)",
"J6, ",1,Enveelope,AudioJack2,,"Audio Jack, 2 Poles (Mono / TS)",
"J7, ",1,BandPass,AudioJack2,,"Audio Jack, 2 Poles (Mono / TS)",
"J8, ",1,LowPass,AudioJack2,,"Audio Jack, 2 Poles (Mono / TS)",
"J10, ",1,Conn_01x03_Male,Conn_01x03_Male,,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J11, J12, J9, J21, ",4,AudioJack2,AudioJack2,,"Audio Jack, 2 Poles (Mono / TS)",
"J13, J14, J15, J17, J16, ",5,AudioJack2,AudioJack2,kicad_footprints:PinHeader_1x02_P2.54mm_Vertical_audio,"Audio Jack, 2 Poles (Mono / TS)",
"J18, ",1,PWM,AudioJack2,,"Audio Jack, 2 Poles (Mono / TS)",
"J19, ",1,TRIANGLE OUT,AudioJack2,,"Audio Jack, 2 Poles (Mono / TS)",
"J20, ",1,Conn_01x03,Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J22, ",1,MAX OUT,AudioJack2,kicad_footprints:PinHeader_1x02_P2.54mm_Vertical_audio,"Audio Jack, 2 Poles (Mono / TS)",
"J23, ",1,LINE OUT,AudioJack2,kicad_footprints:PinHeader_1x02_P2.54mm_Vertical_audio,"Audio Jack, 2 Poles (Mono / TS)",
"J24, ",1,PULSE OUTPUT,AudioJack2,,"Audio Jack, 2 Poles (Mono / TS)",
