Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Unpolarized capacitor,C,C32,0.001uF,,1,~
2,Capacitor symbol for simulation only,CAP,C41 C46,0.001uF,,2,~
3,Unpolarized capacitor,C,C9 C10 C11 C12 C13 C14 C15 C17 C18,0.01uF,,9,~
4,Unpolarized capacitor,C,C26 C30 C31 C36 C37 C39,0.1uF,,6,~
5,Unpolarized capacitor,C,C2,0.22uF,,1,~
6,Capacitor symbol for simulation only,CAP,C40,0.22uF,,1,~
7,Unpolarized capacitor,C,C42 C43 C44,0.22uF,C_Disc_D5.0mm_W2.5mm_P5.00mm,3,~
8,"Polarized capacitor, US symbol",CP1,C1 C3,100uF,,2,~
9,Unpolarized capacitor,C,C22,10pF,,1,~
10,Unpolarized capacitor,C,C45,10pF,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,~
11,Unpolarized capacitor,C,C8,10pF,sip5,1,~
12,"Polarized capacitor, US symbol",CP1,C4 C5 C6 C7 C21 C24 C27 C33 C34,10uF,,9,~
13,Capacitor symbol for simulation only,C,C49 C50,10uF,CP_Radial_D6.3mm_P2.50mm,2,~
14,Unpolarized capacitor,C,C51,2.2uF NP,CP_Radial_D8.0mm_P3.50mm,1,~
15,Unpolarized capacitor,C,C29 C35,22pF,,2,~
16,Unpolarized capacitor,C,C48,22pF,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,~
17,"Polarized capacitor, US symbol",CP1,C16,22uF,,1,~
18,Unpolarized capacitor,C,C19 C28,330pF,,2,~
19,Unpolarized capacitor,C,C38,4.7n,,1,~
20,"Polarized capacitor, US symbol",CP1,C20,4.7uF,,1,~
21,Capacitor symbol for simulation only,CAP,C47,47pF,,1,~
22,"Polarized capacitor, US symbol",CP1,C23 C25,47uF,,2,~
23,"100V 0.15A standard switching diode, DO-35",1N4148,D1,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,1,http://www.nxp.com/documents/data_sheet/1N4148_1N4448.pdf
