"???Quantity","Description"
"1","Ceramic Disc Capacitor 0.001uF 5 mm"
"9","Ceramic Disc Capacitor 0.01uF 5 mm"
"6","Ceramic Disc Capacitor 0.1uF 5 mm"
"1","Ceramic Disc Capacitor 0.22uF 5 mm"
"3","Ceramic Disc Capacitor 0.22uF 5 mm"
"2","Electrolytic Capacitor 100uF Radial Leaded 5 mm"
"1","Electrolytic Capacitor 10pF Radial Leaded 5 mm"
"1","Electrolytic Capacitor 10pF Radial Leaded 5 mm"
"1","Electrolytic Capacitor 10pF Radial Leaded 5 mm"
"9","Electrolytic Capacitor 10uF Radial Leaded 5 mm"
"2","Electrolytic Capacitor 10uF Radial Leaded 5 mm"
"1","Electrolytic Capacitor 2.2uF NP Radial Leaded 5 mm"
"2","Electrolytic Capacitor 22pF Radial Leaded 5 mm"
"1","Electrolytic Capacitor 22pF Radial Leaded 5 mm"
"1","Electrolytic Capacitor 22uF Radial Leaded 5 mm"
"2","Electrolytic Capacitor 330pF Radial Leaded 5 mm"
"1","Electrolytic Capacitor 4.7n Radial Leaded 5 mm"
"1","Electrolytic Capacitor 4.7uF Radial Leaded 5 mm"
"2","Electrolytic Capacitor 47uF Radial Leaded 5 mm"
"5","2N3904"
"2","2N3906"
"1","2N3906"
"1","2SA798"
"1","Through Hole Resistor 1.5Mohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 1.8Kohm MCRE Series 125 mW Axial Leaded"
"2","Through Hole Resistor 100ohm MCRE Series 125 mW Axial Leaded"
"18","Through Hole Resistor 100kohm MCRE Series 125 mW Axial Leaded"
"8","Through Hole Resistor 100kohm MCRE Series 125 mW Axial Leaded"
"9","Through Hole Resistor 10kohm MCRE Series 125 mW Axial Leaded"
"2","Through Hole Resistor 11kohm MCRE Series 125 mW Axial Leaded"
"2","Through Hole Resistor 11kohm MCRE Series 125 mW Axial Leaded"
"2","Through Hole Resistor 12kohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 150kohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 15kohm MCRE Series 125 mW Axial Leaded"
"2","Through Hole Resistor 15kohm MCRE Series 125 mW Axial Leaded"
"2","Through Hole Resistor 18kohm MCRE Series 125 mW Axial Leaded"
"5","Through Hole Resistor 1Mohm MCRE Series 125 mW Axial Leaded"
"5","Through Hole Resistor 1kohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 1kohm MCRE Series 125 mW Axial Leaded"
"2","Through Hole Resistor 2.2Mohm MCRE Series 125 mW Axial Leaded"
"2","Through Hole Resistor 2.2kohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 20Kohm MCRE Series 125 mW Axial Leaded"
"2","Through Hole Resistor 220kohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 22Kohm MCRE Series 125 mW Axial Leaded"
"4","Through Hole Resistor 22ohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 22ohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 270ohm MCRE Series 125 mW Axial Leaded"
"2","Through Hole Resistor 27kohm MCRE Series 125 mW Axial Leaded"
"2","Through Hole Resistor 2kohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 3.3Mohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 330kohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 330kohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 33kohm MCRE Series 125 mW Axial Leaded"
"2","Through Hole Resistor 390ohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 3Kohm MCRE Series 125 mW Axial Leaded"
"2","Through Hole Resistor 470kohm MCRE Series 125 mW Axial Leaded"
"4","Through Hole Resistor 47kohm MCRE Series 125 mW Axial Leaded"
"2","Through Hole Resistor 47ohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 4k7ohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 5.6kohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 51kohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 51kohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 820ohm MCRE Series 125 mW Axial Leaded"
"1","Through Hole Resistor 22ohm MCRE Series 125 mW Axial Leaded"
"3","CA3080"
"1","CA3080"
"1","LM7805 TO220"
"2","PT2399"
"1","TL071"
"1","TL071"
"2","TL072"
"3","TL072"
"4","TL074"
