"Source:","C:\Users\Aorus\Documents\Projects\modular-synth\vca\thomas-henry-vca\vca1\vca1.sch"
"Date:","30/03/2019 16:22:44"
"Tool:","Eeschema (5.0.2)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","47"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10pF","C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor",""
"C2, ","1","22pF","C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor",""
"C9, C3, C4, ","3","0.22uF","C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor",""
"C12, ","1","2.2uF NP","C","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","Unpolarized capacitor",""
"C13, C14, ","2","10uF","C","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Capacitor symbol for simulation only",""
"D1, ","1","1N914","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","100V 0.3A Small Signal Fast Switching Diode, DO-35",""
"J1, J2, J3, J5, J4, ","5","AudioJack2","AudioJack2","kicad_footprints:PinHeader_1x02_P2.54mm_Vertical_audio","Audio Jack, 2 Poles (Mono / TS)",""
"J6, ","1","MAX OUT","AudioJack2","kicad_footprints:PinHeader_1x02_P2.54mm_Vertical_audio","Audio Jack, 2 Poles (Mono / TS)",""
"J7, ","1","LINE OUT","AudioJack2","kicad_footprints:PinHeader_1x02_P2.54mm_Vertical_audio","Audio Jack, 2 Poles (Mono / TS)",""
"J8, ","1","Conn_01x03","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, ","1","2N3906","2N3906","Package_TO_SOT_THT:TO-92_Wide","-0.2A Ic, -40V Vce, Small Signal PNP Transistor, TO-92",""
"R1, ","1","22r","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R3, ","1","1k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R5, R6, ","2","11k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R7, ","1","15k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R8, ","1","51k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R9, R2, R4, R14, R15, R16, R12, R13, ","8","100k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R10, ","1","R","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R23, ","1","330k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R4_LEVEL1, ","1","10K","R_POT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Potentiometer",""
"R17_OFFSET_TRIM1, ","1","100k","R_POT","Potentiometer_THT:Potentiometer_Piher_PT-6-V_Vertical","Potentiometer",""
"R18_PAD1, R19_PAD2, R20_PAD3, R22_INITIAL1, R21_ATTEN1, ","5","100K","R_POT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Potentiometer",""
"SW3, SW2, SW1, ","3","SW_DIP_x01","SW_DIP_x01","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",""
"U1, ","1","CA3080","CA3080","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","2MHz, Operational Transconductance Amplifier (OTA), gM spread 2:1, DIP-8/SOIC-8",""
"U2, ","1","TL072","TL072","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",""
"U3, ","1","TL071","TL071","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","Single Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",""
